Sym,Name,1/2/2009 (Open),Last,Change,Percent,High,Low,Volume,Time,,
EIX,Edison International,32.03,78.17,1.13,1.47%,78.21,76.04,2351300,"Friday, July 8, 2016",,144.05%
EL,Estee Lauder Companies,31.51,93.01,1.46,1.59%,93.17,91.83,1283000,"Friday, July 8, 2016",,195.18%
EMC,EMC Corp,10.34,27.51,0.18,0.66%,27.56,27.34,17175500,"Friday, July 8, 2016",,166.05%
EMN,Eastman Chemical Company,31.84,68.52,1.53,2.28%,69.95,67.77,1334600,"Friday, July 8, 2016",,115.20%
EMR,Emerson Electric Company,36.72,53.44,1.07,2.04%,53.5,52.77,3703800,"Friday, July 8, 2016",,45.53%
ENDP,Endo Int'l Plc,25.94,17.42,0.14,0.81%,17.58,16.9,5668600,"Friday, July 8, 2016",,-32.85%
EOG,Eog Resources,67.94,82.54,0.93,1.14%,83.07,81.57,1980100,"Friday, July 8, 2016",,21.49%
EQIX,Equinix Inc,53.62,389.45,6.77,1.77%,390.5,384.21,400000,"Friday, July 8, 2016",,626.31%
EQR,Equity Residential,29.87,70.5,1.2,1.73%,70.52,69.46,2416300,"Friday, July 8, 2016",,136.02%
EQT,Eqt Corp,33.38,77.68,0.85,1.11%,78.25,76.76,1450400,"Friday, July 8, 2016",,132.71%
ES,Eversource Energy,24.1,59.57,0.22,0.37%,59.6,58.48,2079300,"Friday, July 8, 2016",,147.18%
ESRX,Express Scripts,54.56,77.92,1.37,1.79%,78.23,76.59,3071000,"Friday, July 8, 2016",,42.82%
ESS,Essex Property Trust,77.77,231.33,2.57,1.12%,232.57,229.11,353100,"Friday, July 8, 2016",,197.45%
ETFC,E*Trade Finl Corp,1.15,23.59,0.54,2.34%,23.74,23.16,3257200,"Friday, July 8, 2016",,1951.30%
ETN,Eaton Corp,49.7,61.92,1.81,3.01%,62,60.52,2001800,"Friday, July 8, 2016",,24.59%
ETR,Entergy Corp,83.71,80.88,0.38,0.47%,80.92,79.65,1123500,"Friday, July 8, 2016",,-3.38%
EW,Edwards Lifesciences Corp,54.29,104.72,0.97,0.93%,105.42,103.5,1330800,"Friday, July 8, 2016",,92.89%
EXC,Exelon Corp,55.75,36.11,0.41,1.15%,36.14,35.37,4925200,"Friday, July 8, 2016",,-35.23%
EXPD,Expeditors Intl,33.1,49.92,0.66,1.34%,50.13,49.29,910000,"Friday, July 8, 2016",,50.82%
EXPE,Expedia Inc,8.21,109.43,1.86,1.73%,109.7,108.09,1661500,"Friday, July 8, 2016",,1232.89%
EXR,Extra Space Storage Inc,10.34,93.25,1.21,1.31%,93.6,91.52,1312300,"Friday, July 8, 2016",,801.84%
F,Ford Motor Company,2.3,13.09,0.34,2.67%,13.17,12.89,45938098,"Friday, July 8, 2016",,469.13%
FAST,Fastenal Co,35.08,45.23,0.51,1.14%,45.26,44.65,2539800,"Friday, July 8, 2016",,28.93%
FB,Facebook Inc,,117.24,1.39,1.20%,117.5,115.85,18135301,"Friday, July 8, 2016",,
FBHS,Fortune Brands Home & Security,,60.21,1.43,2.43%,60.32,59,1544100,"Friday, July 8, 2016",,
FCX,Freeport-Mcmoran Inc,24.88,11.2,0.53,4.97%,11.24,10.81,36032598,"Friday, July 8, 2016",,
FDX,Fedex Corp,64.16,156.22,3.62,2.37%,156.88,153.95,1743700,"Friday, July 8, 2016",,
FE,Firstenergy Corp,48.52,36.02,0.69,1.95%,36.04,35.01,3732500,"Friday, July 8, 2016",,
FFIV,F5 Networks Inc,22.85,117.13,3.36,2.95%,117.2,114.47,761800,"Friday, July 8, 2016",,
FIS,Fidelity National Information Services,16.36,76.03,1.27,1.70%,76.18,75,2184100,"Friday, July 8, 2016",,
FISV,Fiserv Inc,36.04,109.69,1.26,1.16%,109.93,109.06,1296900,"Friday, July 8, 2016",,
FITB,Fifth Third Bncp,8.24,17.25,0.3,1.77%,17.45,17.19,7059800,"Friday, July 8, 2016",,
FL,Footlocker Inc,7.43,57.41,2.06,3.72%,57.52,55.89,2836000,"Friday, July 8, 2016",,
FLIR,Flir Systems Inc,30.34,31.8,0.36,1.15%,31.87,31.55,411100,"Friday, July 8, 2016",,
FLR,Fluor Corp,45.88,51.57,1.52,3.04%,51.7,50.78,824400,"Friday, July 8, 2016",,
FLS,Flowserve Corp,52.98,45.79,0.84,1.87%,45.96,45.44,2985500,"Friday, July 8, 2016",,
FMC,FMC Corp,44.99,46.48,1.68,3.75%,46.63,45.43,1023300,"Friday, July 8, 2016",,
FOX,21St Centry Fox Class B,9.56,28,0.74,2.71%,28.01,27.45,1911800,"Friday, July 8, 2016",,
FOXA,21St Centry Fox Class A,9.07,27.7,0.77,2.86%,27.75,27.15,8527101,"Friday, July 8, 2016",,
FRT,Federal Realty Investment Trust,62.37,167.81,1.51,0.91%,167.89,166.28,343500,"Friday, July 8, 2016",,
FSLR,First Solar Inc,137,45.6,1.26,2.84%,45.76,44.65,3572300,"Friday, July 8, 2016",,
FTI,FMC Technologies,23.99,26.36,0.55,2.13%,26.57,26.1,1824300,"Friday, July 8, 2016",,
FTR,Frontier Commun Cp,8.81,4.97,0.06,1.22%,5.04,4.91,13103700,"Friday, July 8, 2016",,
GD,General Dynamics Corp,57.76,140.48,1.79,1.29%,140.8,139.1,2033800,"Friday, July 8, 2016",,
GE,General Electric Company,16.51,32.2,0.38,1.19%,32.27,31.99,38529398,"Friday, July 8, 2016",,
GGP,General Growth Properties,1.31,30.98,0.94,3.13%,30.98,30.18,4221100,"Friday, July 8, 2016",,
GILD,Gilead Sciences Inc,50.9,86.55,1.08,1.26%,86.93,85.73,7628700,"Friday, July 8, 2016",,
GIS,General Mills,60.93,72.46,0.44,0.61%,72.48,71.56,4234100,"Friday, July 8, 2016",,
GLW,Corning Inc,9.6,20.91,0.49,2.40%,20.92,20.57,5830000,"Friday, July 8, 2016",,
GM,General Motors Company,,29.66,0.92,3.20%,29.87,29.27,16659400,"Friday, July 8, 2016",,
GOOG,Alphabet Class C,308.6,705.63,10.27,1.48%,705.71,696.43,1575000,"Friday, July 8, 2016",,
GOOGL,Alphabet Class A,308.6,717.78,10.52,1.49%,717.9,708.11,1497200,"Friday, July 8, 2016",,
GPC,Genuine Parts Company,38.1,104.97,2.03,1.97%,105.02,103.41,489600,"Friday, July 8, 2016",,
GPN,Global Payments Inc,32.93,73.54,1.74,2.42%,73.64,72.15,1013400,"Friday, July 8, 2016",,
GPS,Gap Inc,13.71,22.7,1.07,4.95%,23.21,22.61,13624100,"Friday, July 8, 2016",,
GRMN,Garmin Ltd,19,43.37,0.78,1.83%,43.44,42.78,894600,"Friday, July 8, 2016",,
GS,Goldman Sachs Group,84.02,150.38,3.38,2.30%,150.92,148.31,3281400,"Friday, July 8, 2016",,
GT,Goodyear Tire Rubber,6.04,26.53,0.91,3.55%,26.74,25.89,4147500,"Friday, July 8, 2016",,
GWW,W.W. Grainger,78.85,230.47,5.03,2.23%,230.82,226.88,475800,"Friday, July 8, 2016",,
HAL,Halliburton Company,18.18,45.03,1.48,3.40%,45.32,44.14,10482000,"Friday, July 8, 2016",,
HAR,Harman International Industries Inc,16.85,73.75,2.34,3.28%,74.46,72.39,963200,"Friday, July 8, 2016",,
HAS,Hasbro Inc,29.36,84.71,1.6,1.93%,84.94,83.18,3082800,"Friday, July 8, 2016",,
HBAN,Huntington Bcshs,7.88,8.72,0.14,1.63%,8.84,8.68,14223801,"Friday, July 8, 2016",,
HBI,Hanesbrands Inc,12.96,26.27,0.76,2.98%,26.38,25.83,2699900,"Friday, July 8, 2016",,
HCA,Hca Holdings Inc. Common Stock,,78.21,1.22,1.58%,78.59,77.37,4021100,"Friday, July 8, 2016",,
HCN,Welltower Inc,42.32,75.62,0.78,1.04%,75.85,74.53,2291400,"Friday, July 8, 2016",,
HCP,HCP Inc,27.66,35.94,1.06,3.04%,35.94,34.99,4030100,"Friday, July 8, 2016",,
HD,Home Depot,23.07,134.34,3.18,2.42%,134.36,132.25,4806200,"Friday, July 8, 2016",,
HES,Hess Corp,53.91,56.81,0.33,0.58%,57.87,55.77,3259100,"Friday, July 8, 2016",,
HIG,Hartford Financial Services Group,16.68,43.58,0.86,2.01%,43.7,43.14,3485100,"Friday, July 8, 2016",,
HOG,Harley-Davidson Inc,17.25,48.73,0.91,1.90%,49.37,47.99,2700300,"Friday, July 8, 2016",,
HOLX,Hologic Inc,13.03,35.93,0.43,1.21%,36.03,35.52,1887600,"Friday, July 8, 2016",,
HON,Honeywell International Inc,32.93,118.84,2.73,2.35%,118.99,116.93,2524800,"Friday, July 8, 2016",,
HOT,Starwood Hotels & Resorts Worldwide,19.27,76.7,1.16,1.54%,76.83,75.74,984900,"Friday, July 8, 2016",,
